		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	LABELS	S-XTSCC	S-XTSCC-wo News	S-XTREG	S-XTREG-fe	S-XTREG-cluster	S-XTREG-fe-cluster	S-XTPCSE-hetonly	S-XTPCSE-hetonly	D-XTSCC	D-XTSCC	D-XTSCC-No News	D-XTREG	D-XTREG-fe	D-XTREG-cluster	D-XTREG-fe-cluster	D-XTPCSE-hetonly	D-XTPCSE-hetonly	D-XTPCSE-hetonly	D-XTPCSE-hetonly
																				
r1	R(-1)	-2.146***	-2.160***	-2.137***	-2.137***	-2.137***	-2.137***	-2.146***	-2.146***	0.652***	0.652***	0.656***	0.647***	0.647***	0.647***	0.647***	0.652***	0.652***	0.652***	0.652***
2.ml	ml = 2, True	0.0482***	0.0497***	0.0460***	0.0462***	0.0460***	0.0462***	0.0482***	0.0482***	-0.0228***	-0.0228***	-0.0232***	-0.0198***	-0.0198***	-0.0198***	-0.0198***	-0.0228***	-0.0228***	-0.0228***	-0.0228***
		(8.427)	(8.578)	(20.90)	(20.96)	(10.93)	(11.00)	(21.91)	(21.91)	(-7.139)	(-7.139)	(-7.184)	(-20.71)	(-20.72)	(-5.109)	(-5.121)	(-22.76)	(-22.76)	(-22.76)	(-22.76)
Constant	Constant	0.126***	0.107***	0.126***	0.114***	0.126***	0.114***	0.126***	0.126***	-0.0336***	-0.0336***	-0.0435***	-0.0305***	-0.0256***	-0.0305***	-0.0256***	-0.0336***	-0.0336***	-0.0336***	-0.0336***
		(14.33)	(12.80)	(19.53)	(27.44)	(18.21)	(21.46)	(30.00)	(30.00)	(-8.843)	(-8.843)	(-12.94)	(-8.453)	(-14.23)	(-8.976)	(-9.655)	(-17.75)	(-17.75)	(-17.75)	(-17.75)
																				
Observations		1,135,878	1,135,878	1,135,878	1,135,878	1,135,878	1,135,878	1,135,878	1,135,878	1,135,878	1,135,878	1,135,878	1,135,878	1,135,878	1,135,878	1,135,878	1,135,878	1,135,878	1,135,878	1,135,878
R-squared		0.013	0.012		0.014		0.014	0.013	0.013	0.006	0.006	0.005		0.007		0.007	0.006	0.006	0.006	0.006
Number of groups		742	742							742	742	742								
Number of fid				742	742	742	742	742	742				742	742	742	742	742	742	742	742
t-statistics in parentheses																				
*** p<0.01, ** p<0.05, * p<0.1																				
