		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)
		(-1.800)	(-1.787)	(-1.787)	(-1.766)	(-1.766)	(9.011)	(9.011)	(8.998)	(8.998)	(9.004)	(9.004)
8.jy	JYear = 8, 1394	-0.0644***	-0.0642***	-0.0642***	-0.0638***	-0.0638***	0.133***	0.133***	0.132***	0.132***	0.132***	0.132***
		(-3.409)	(-3.399)	(-3.399)	(-3.386)	(-3.386)	(9.537)	(9.537)	(9.525)	(9.525)	(9.533)	(9.533)
9.jy	JYear = 9, 1395	-0.0303*	-0.0301*	-0.0301*	-0.0298*	-0.0298*	0.113***	0.113***	0.112***	0.112***	0.112***	0.112***
		(-1.808)	(-1.797)	(-1.797)	(-1.779)	(-1.779)	(8.711)	(8.711)	(8.701)	(8.701)	(8.710)	(8.710)
10.jy	JYear = 10, 1396	-0.0426**	-0.0424**	-0.0424**	-0.0421**	-0.0421**	0.123***	0.123***	0.123***	0.123***	0.123***	0.123***
		(-2.334)	(-2.325)	(-2.325)	(-2.311)	(-2.311)	(9.326)	(9.326)	(9.318)	(9.318)	(9.328)	(9.328)
11.jy	JYear = 11, 1397	-0.111***	-0.110***	-0.110***	-0.110***	-0.110***	0.151***	0.151***	0.150***	0.150***	0.150***	0.150***
		(-5.036)	(-5.016)	(-5.016)	(-4.992)	(-4.992)	(10.27)	(10.27)	(10.24)	(10.24)	(10.24)	(10.24)
12.jy	JYear = 12, 1398	-0.161***	-0.160***	-0.160***	-0.159***	-0.159***	0.184***	0.184***	0.183***	0.183***	0.182***	0.182***
		(-8.638)	(-8.593)	(-8.593)	(-8.546)	(-8.546)	(14.09)	(14.09)	(14.05)	(14.05)	(14.04)	(14.04)
13.jy	JYear = 13, 1399	-0.0841***	-0.0836***	-0.0836***	-0.0831***	-0.0831***	0.158***	0.158***	0.157***	0.157***	0.157***	0.157***
		(-2.808)	(-2.807)	(-2.807)	(-2.805)	(-2.805)	(9.143)	(9.143)	(9.164)	(9.164)	(9.191)	(9.191)
14.jy	JYear = 14, 1400	0.0465**	0.0465**	0.0465**	0.0467**	0.0467**	0.104***	0.104***	0.104***	0.104***	0.104***	0.104***
		(2.042)	(2.042)	(2.042)	(2.049)	(2.049)	(6.943)	(6.943)	(6.950)	(6.950)	(6.963)	(6.963)
15.jy	JYear = 15, 1401	0.0157	0.0156	0.0156	0.0157	0.0157	0.120***	0.120***	0.120***	0.120***	0.120***	0.120***
		(0.530)	(0.527)	(0.527)	(0.529)	(0.529)	(7.947)	(7.947)	(7.956)	(7.956)	(7.973)	(7.973)
Constant	Constant	0.167***	0.167***	0.167***	0.167***	0.167***	-0.179***	-0.179***	-0.179***	-0.179***	-0.179***	-0.179***
		(10.32)	(10.32)	(10.32)	(10.34)	(10.34)	(-14.19)	(-14.19)	(-14.20)	(-14.20)	(-14.25)	(-14.25)
												
Observations		976,711	976,711	976,711	976,711	976,711	976,711	976,711	976,711	976,711	976,711	976,711
R-squared		0.021	0.021	0.021	0.021	0.021	0.016	0.016	0.016	0.016	0.016	0.016
Number of groups		742	742	742	742	742	742	742	742	742	742	742
t-statistics in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
