		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)
8.jy	JYear = 8, 1394	0.0374**	0.0374**	0.0374**	0.0373**	0.0373**	0.160***	0.160***	0.159***	0.159***	0.158***	0.158***
		(2.211)	(2.210)	(2.210)	(2.213)	(2.213)	(10.00)	(10.00)	(9.929)	(9.929)	(9.888)	(9.888)
9.jy	JYear = 9, 1395	0.0687***	0.0687***	0.0687***	0.0687***	0.0687***	0.160***	0.160***	0.159***	0.159***	0.159***	0.159***
		(4.411)	(4.409)	(4.409)	(4.417)	(4.417)	(9.962)	(9.962)	(9.898)	(9.898)	(9.862)	(9.862)
10.jy	JYear = 10, 1396	0.0531***	0.0530***	0.0530***	0.0530***	0.0530***	0.183***	0.183***	0.182***	0.182***	0.182***	0.182***
		(3.146)	(3.143)	(3.143)	(3.148)	(3.148)	(11.21)	(11.21)	(11.15)	(11.15)	(11.12)	(11.12)
11.jy	JYear = 11, 1397	-0.0131	-0.0131	-0.0131	-0.0131	-0.0131	0.196***	0.196***	0.194***	0.194***	0.194***	0.194***
		(-0.708)	(-0.709)	(-0.709)	(-0.711)	(-0.711)	(11.37)	(11.37)	(11.29)	(11.29)	(11.23)	(11.23)
12.jy	JYear = 12, 1398	-0.0421***	-0.0421***	-0.0421***	-0.0421***	-0.0421***	0.253***	0.253***	0.252***	0.252***	0.250***	0.250***
		(-2.616)	(-2.609)	(-2.609)	(-2.609)	(-2.609)	(13.52)	(13.52)	(13.38)	(13.38)	(13.28)	(13.28)
13.jy	JYear = 13, 1399	0.0166	0.0167	0.0167	0.0167	0.0167	0.246***	0.246***	0.246***	0.246***	0.245***	0.245***
		(0.760)	(0.765)	(0.765)	(0.768)	(0.768)	(9.583)	(9.583)	(9.489)	(9.489)	(9.431)	(9.431)
14.jy	JYear = 14, 1400	0.0761***	0.0761***	0.0761***	0.0762***	0.0762***	0.180***	0.180***	0.181***	0.181***	0.181***	0.181***
		(3.897)	(3.899)	(3.899)	(3.911)	(3.911)	(6.879)	(6.879)	(6.878)	(6.878)	(6.883)	(6.883)
15.jy	JYear = 15, 1401	0.0560**	0.0560**	0.0560**	0.0561**	0.0561**	0.116***	0.116***	0.116***	0.116***	0.116***	0.116***
		(2.142)	(2.141)	(2.141)	(2.146)	(2.146)	(7.165)	(7.165)	(7.161)	(7.161)	(7.169)	(7.169)
Constant	Constant	0.0626***	0.0626***	0.0626***	0.0625***	0.0625***	-0.163***	-0.163***	-0.163***	-0.163***	-0.163***	-0.163***
		(4.177)	(4.180)	(4.180)	(4.181)	(4.181)	(-10.22)	(-10.22)	(-10.20)	(-10.20)	(-10.21)	(-10.21)
												
Observations		976,711	976,711	976,711	976,711	976,711	976,711	976,711	976,711	976,711	976,711	976,711
R-squared		0.015	0.015	0.015	0.015	0.015	0.041	0.041	0.041	0.041	0.041	0.041
Number of groups		742	742	742	742	742	742	742	742	742	742	742
t-statistics in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
